commentId,articleId,userId,text
1,2401,user_91,This article is really interesting
2,9192,user_12,This article is really interesting
3,7921,user_48,This article is really interesting
4,10759,user_39,This article is really interesting
5,3784,user_44,This article is really interesting
6,13470,user_99,This article is really interesting
7,6656,user_51,This article is really interesting
8,13058,user_13,This article is really interesting
9,12695,user_42,This article is really interesting
10,6388,user_80,This article is really interesting
11,3590,user_82,This article is really interesting
12,8726,user_18,This article is really interesting
13,12742,user_25,This article is really interesting
14,2416,user_42,This article is really interesting
15,4429,user_37,This article is really interesting
16,1375,user_32,This article is really interesting
17,9994,user_38,This article is really interesting
18,10440,user_48,This article is really interesting
19,12352,user_30,This article is really interesting
20,863,user_44,This article is really interesting
21,415,user_17,This article is really interesting
22,11381,user_45,This article is really interesting
23,3276,user_99,This article is really interesting
24,2525,user_23,This article is really interesting
25,9691,user_18,This article is really interesting
26,13140,user_37,This article is really interesting
27,8833,user_69,This article is really interesting
28,6695,user_39,This article is really interesting
29,1938,user_50,This article is really interesting
30,8278,user_11,This article is really interesting
31,12233,user_6,This article is really interesting
32,2063,user_43,This article is really interesting
33,4713,user_13,This article is really interesting
34,206,user_89,This article is really interesting
35,7276,user_25,This article is really interesting
36,12771,user_30,This article is really interesting
37,10442,user_34,This article is really interesting
38,9242,user_77,This article is really interesting
39,5035,user_88,This article is really interesting
40,9033,user_54,This article is really interesting
41,13459,user_64,This article is really interesting
42,4575,user_2,This article is really interesting
43,8830,user_72,This article is really interesting
44,4489,user_63,This article is really interesting
45,7734,user_36,This article is really interesting
46,3079,user_34,This article is really interesting
47,4545,user_39,This article is really interesting
48,11688,user_91,This article is really interesting
49,13622,user_10,This article is really interesting
50,10017,user_38,This article is really interesting
51,8507,user_93,This article is really interesting
52,1606,user_20,This article is really interesting
53,1093,user_10,This article is really interesting
54,8844,user_62,This article is really interesting
55,4067,user_15,This article is really interesting
56,10708,user_73,This article is really interesting
57,12428,user_82,This article is really interesting
58,5486,user_47,This article is really interesting
59,8323,user_13,This article is really interesting
60,12685,user_21,This article is really interesting
61,4442,user_53,This article is really interesting
62,1429,user_20,This article is really interesting
63,6781,user_63,This article is really interesting
64,9426,user_91,This article is really interesting
65,3992,user_73,This article is really interesting
66,9083,user_99,This article is really interesting
67,13505,user_73,This article is really interesting
68,8118,user_86,This article is really interesting
69,5997,user_23,This article is really interesting
70,12990,user_86,This article is really interesting
71,8854,user_47,This article is really interesting
72,12709,user_42,This article is really interesting
73,4565,user_77,This article is really interesting
74,1006,user_34,This article is really interesting
75,13245,user_81,This article is really interesting
76,177,user_17,This article is really interesting
77,11789,user_16,This article is really interesting
78,5670,user_33,This article is really interesting
79,821,user_100,This article is really interesting
80,1219,user_52,This article is really interesting
81,11053,user_98,This article is really interesting
